term,label,effect_magnitude,sum_sq,df,F,p_value,significant_0.05
G,Gaussian MF (main),179.07333333333335,192403.5522666666,1.0,121.71405541857871,6.8853965294369236e-09,True
T,Eligibility trace (main),126.11333333333332,95427.43706666649,1.0,60.367182553299564,8.084597136711416e-07,True
A,Adaptive epsilon (main),100.97999999999996,61181.76240000005,1.0,38.703445604990726,1.22338287724575e-05,True
GT,Gaussian x Eligibility,94.10666666666665,53136.38826666677,1.0,33.613959981718395,2.722022607210368e-05,True
GA,Gaussian x Adaptive-eps,-74.99333333333331,33744.000266666575,1.0,21.346378848604747,0.0002837136540305757,True
TA,Eligibility x Adaptive-eps,31.393333333333345,5913.2482666666865,1.0,3.7407075844179936,0.07098983962239742,False
GTA,Gaussian x Eligibility x Adaptive-eps,-2.3600000000000136,33.41759999999999,1.0,0.021139898772339658,0.8862143901292209,False
