episode,baseline_mean,baseline_ma,improved_mean,improved_ma
1,10.233333333333333,10.233333333333333,15.233333333333333,15.233333333333333
2,10.533333333333333,10.383333333333333,14.366666666666667,14.8
3,9.966666666666667,10.244444444444445,18.633333333333333,16.07777777777778
4,10.033333333333333,10.191666666666666,16.466666666666665,16.175
5,10.333333333333334,10.22,17.9,16.52
6,10.233333333333333,10.222222222222223,24.833333333333332,17.905555555555555
7,10.1,10.204761904761906,25.033333333333335,18.923809523809524
8,9.8,10.154166666666667,19.7,19.020833333333332
9,9.733333333333333,10.107407407407408,20.3,19.162962962962965
10,10.433333333333334,10.14,18.8,19.12666666666667
11,10.5,10.172727272727274,23.066666666666666,19.484848484848484
12,10.433333333333334,10.194444444444445,22.366666666666667,19.725
13,11.0,10.256410256410257,22.1,19.907692307692308
14,10.1,10.245238095238095,28.333333333333332,20.50952380952381
15,9.833333333333334,10.217777777777778,17.933333333333334,20.337777777777777
16,10.533333333333333,10.2375,30.233333333333334,20.95625
17,10.0,10.223529411764707,21.366666666666667,20.980392156862745
18,10.0,10.211111111111112,25.366666666666667,21.224074074074075
19,10.233333333333333,10.212280701754386,32.5,21.817543859649124
20,10.3,10.216666666666667,20.866666666666667,21.770000000000003
21,10.2,10.215873015873015,24.433333333333334,21.8968253968254
22,10.133333333333333,10.212121212121211,29.933333333333334,22.262121212121215
23,11.533333333333333,10.269565217391303,31.233333333333334,22.652173913043477
24,10.566666666666666,10.281944444444445,28.5,22.895833333333332
25,10.266666666666667,10.281333333333334,33.13333333333333,23.305333333333333
26,10.633333333333333,10.294871794871796,37.1,23.835897435897436
27,11.066666666666666,10.323456790123457,25.233333333333334,23.887654320987654
28,10.266666666666667,10.321428571428571,29.866666666666667,24.101190476190478
29,10.833333333333334,10.339080459770114,30.133333333333333,24.30919540229885
30,11.233333333333333,10.368888888888888,38.03333333333333,24.766666666666666
31,11.533333333333333,10.406451612903227,30.633333333333333,24.955913978494625
32,14.3,10.528125,44.43333333333333,25.56458333333333
33,12.0,10.572727272727272,29.5,25.68383838383838
34,13.333333333333334,10.65392156862745,38.4,26.0578431372549
35,13.4,10.73238095238095,26.466666666666665,26.069523809523808
36,13.9,10.820370370370368,38.36666666666667,26.41111111111111
37,12.1,10.854954954954954,49.96666666666667,27.047747747747746
38,11.766666666666667,10.87894736842105,31.433333333333334,27.163157894736845
39,14.5,10.97179487179487,44.733333333333334,27.613675213675215
40,11.966666666666667,10.996666666666666,45.9,28.070833333333336
41,10.566666666666666,10.986178861788618,40.56666666666667,28.375609756097564
42,11.2,10.99126984126984,41.56666666666667,28.68968253968254
43,11.166666666666666,10.995348837209303,43.833333333333336,29.04186046511628
44,11.666666666666666,11.010606060606062,61.833333333333336,29.78712121212121
45,12.866666666666667,11.051851851851852,49.13333333333333,30.217037037037038
46,10.933333333333334,11.049275362318841,40.733333333333334,30.445652173913043
47,14.133333333333333,11.114893617021279,39.1,30.629787234042553
48,14.166666666666666,11.178472222222224,51.03333333333333,31.054861111111112
49,13.8,11.231972789115646,44.733333333333334,31.33401360544218
50,13.733333333333333,11.282,49.333333333333336,31.694000000000003
51,13.633333333333333,11.349999999999998,62.5,32.63933333333333
52,13.366666666666667,11.406666666666665,54.56666666666667,33.443333333333335
53,13.4,11.475333333333333,58.666666666666664,34.244
54,13.733333333333333,11.549333333333333,53.333333333333336,34.98133333333334
55,15.0,11.642666666666663,53.86666666666667,35.70066666666666
56,15.766666666666667,11.753333333333332,49.53333333333333,36.19466666666667
57,14.2,11.835333333333333,47.7,36.648
58,13.8,11.915333333333333,59.46666666666667,37.443333333333335
59,13.533333333333333,11.991333333333332,59.766666666666666,38.23266666666667
60,13.433333333333334,12.051333333333332,46.733333333333334,38.791333333333334
61,14.333333333333334,12.128,51.13333333333333,39.35266666666667
62,14.733333333333333,12.214,68.3,40.27133333333333
63,16.566666666666666,12.325333333333335,48.6,40.80133333333333
64,15.933333333333334,12.442,56.96666666666667,41.373999999999995
65,17.0,12.585333333333333,58.36666666666667,42.18266666666666
66,13.033333333333333,12.635333333333334,53.96666666666667,42.657333333333334
67,16.1,12.757333333333333,74.1,43.711999999999996
68,16.666666666666668,12.890666666666666,52.9,44.26266666666666
69,15.2,12.99,58.03333333333333,44.77333333333333
70,16.833333333333332,13.120666666666668,55.666666666666664,45.469333333333324
71,19.7,13.310666666666668,57.6,46.132666666666665
72,17.833333333333332,13.46466666666667,60.1,46.736
73,19.6,13.626000000000001,55.7,47.22533333333332
74,20.2,13.818666666666667,62.86666666666667,47.91266666666667
75,19.2,13.997333333333335,63.666666666666664,48.52333333333333
76,20.566666666666666,14.196000000000002,62.93333333333333,49.03999999999999
77,19.133333333333333,14.357333333333337,51.666666666666664,49.56866666666666
78,20.233333333333334,14.556666666666667,50.36666666666667,49.97866666666667
79,21.133333333333333,14.762666666666666,61.56666666666667,50.60733333333334
80,20.633333333333333,14.950666666666667,54.266666666666666,50.931999999999995
81,21.8,15.155999999999999,68.56666666666666,51.690666666666665
82,21.233333333333334,15.294666666666666,71.43333333333334,52.230666666666664
83,21.7,15.488666666666667,70.26666666666667,53.046000000000014
84,22.933333333333334,15.680666666666665,83.93333333333334,53.95666666666667
85,19.4,15.800666666666665,69.63333333333334,54.82
86,22.666666666666668,15.975999999999999,68.53333333333333,55.42333333333333
87,20.666666666666668,16.147333333333332,64.36666666666666,55.71133333333334
88,22.733333333333334,16.366666666666667,59.9,56.28066666666667
89,23.366666666666667,16.544,58.46666666666667,56.55533333333333
90,20.166666666666668,16.708,55.0,56.737333333333325
91,24.0,16.976666666666667,67.0,57.266000000000005
92,23.433333333333334,17.221333333333334,84.1,58.11666666666666
93,23.733333333333334,17.472666666666665,75.0,58.73999999999999
94,24.166666666666668,17.722666666666665,76.96666666666667,59.04266666666666
95,23.5,17.935333333333332,79.56666666666666,59.65133333333334
96,24.2,18.200666666666667,79.76666666666667,60.431999999999995
97,23.866666666666667,18.395333333333337,80.36666666666666,61.25733333333334
98,23.5,18.582,81.46666666666667,61.86599999999999
99,24.8,18.802,66.06666666666666,62.292666666666676
100,24.566666666666666,19.018666666666668,76.7,62.84
101,25.766666666666666,19.261333333333333,86.43333333333334,63.318666666666665
102,24.466666666666665,19.483333333333334,81.86666666666666,63.86466666666667
103,24.9,19.71333333333333,78.1,64.25333333333334
104,23.333333333333332,19.905333333333335,83.5,64.85666666666667
105,25.3,20.111333333333334,117.86666666666666,66.13666666666667
106,24.666666666666668,20.28933333333333,130.63333333333333,67.75866666666667
107,25.0,20.505333333333333,119.9,69.20266666666667
108,24.966666666666665,20.72866666666667,103.46666666666667,70.08266666666667
109,24.733333333333334,20.95266666666667,82.53333333333333,70.538
110,24.9,21.182000000000002,112.06666666666666,71.84466666666667
111,24.933333333333334,21.394000000000005,114.73333333333333,73.11666666666665
112,25.466666666666665,21.608666666666668,94.26666666666667,73.63600000000001
113,25.5,21.787333333333336,119.93333333333334,75.06266666666667
114,25.733333333333334,21.983333333333334,122.3,76.36933333333334
115,26.3,22.169333333333334,120.0,77.602
116,25.933333333333334,22.427333333333337,146.1,79.44466666666666
117,26.066666666666666,22.62666666666667,132.86666666666667,80.62
118,26.133333333333333,22.816,139.26666666666668,82.34733333333334
119,26.233333333333334,23.03666666666667,123.2,83.65066666666668
120,25.9,23.218000000000004,124.76666666666667,85.03266666666664
121,25.833333333333332,23.34066666666667,147.03333333333333,86.82133333333336
122,26.166666666666668,23.50733333333333,123.66666666666667,88.09266666666669
123,26.2,23.639333333333333,127.76666666666667,89.53399999999999
124,26.166666666666668,23.758666666666667,134.4,90.96466666666666
125,25.4,23.88266666666667,121.2,92.11533333333333
