,final_return_mean,final_return_std,final_return_median,final_return_iqr,final_return_min,final_return_max,final_return_95ci,best_return_mean,auc_mean,auc_std,auc_95ci,solved_rate,n_seeds_solved,n_seeds_total,median_episodes_to_solve,ever_crossed_threshold_rate
Baseline FQL,265.6986666666667,41.17252982212804,278.68,"[268.49, 286.775]",133.2,307.32,"[250.32459136522823, 281.0727419681052]",474.53333333333336,118.23986666666666,22.480993160864816,"[109.84532585998286, 126.63440747335045]",0.0,0,30,,0.0
Improved FQL-GTA,423.07733333333334,78.67067327805825,450.09000000000003,"[381.33, 478.66499999999996]",220.1,499.88,"[393.7012211484149, 452.4534455182518]",493.6333333333333,293.55053333333336,60.94918445763303,"[270.7917338264518, 316.30933284021495]",0.4,12,30,330.0,0.8
