step,baseline__seed0,baseline__seed1,baseline__seed2,epsilon_only__seed0,epsilon_only__seed1,epsilon_only__seed2,eligibility_only__seed0,eligibility_only__seed1,eligibility_only__seed2,no_gaussian__seed0,no_gaussian__seed1,no_gaussian__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,no_eligibility__seed0,no_eligibility__seed1,no_eligibility__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
25,10.0,10.0,12.0,13.0,23.0,14.0,10.0,10.0,10.0,11.0,27.0,14.0,10.0,10.0,14.0,10.0,21.0,15.0,10.0,10.0,14.0,263.0,15.0,13.0
26,11.0,10.0,10.0,8.0,27.0,11.0,11.0,10.0,9.0,11.0,18.0,11.0,11.0,10.0,34.0,10.0,22.0,11.0,11.0,10.0,34.0,35.0,18.0,12.0
27,10.0,9.0,11.0,9.0,15.0,12.0,10.0,9.0,10.0,10.0,16.0,12.0,10.0,9.0,11.0,10.0,19.0,12.0,10.0,9.0,11.0,299.0,13.0,12.0
28,9.0,12.0,11.0,12.0,19.0,28.0,9.0,12.0,10.0,9.0,17.0,28.0,9.0,12.0,51.0,14.0,13.0,31.0,9.0,12.0,11.0,168.0,22.0,25.0
29,9.0,10.0,10.0,11.0,21.0,15.0,9.0,10.0,9.0,11.0,23.0,15.0,9.0,10.0,40.0,11.0,22.0,14.0,9.0,10.0,41.0,202.0,16.0,15.0
30,10.0,11.0,12.0,8.0,14.0,10.0,10.0,11.0,10.0,13.0,13.0,10.0,10.0,11.0,14.0,8.0,15.0,12.0,10.0,11.0,12.0,260.0,15.0,12.0
31,9.0,13.0,36.0,10.0,18.0,14.0,9.0,13.0,8.0,10.0,18.0,14.0,9.0,13.0,14.0,11.0,18.0,22.0,9.0,13.0,58.0,328.0,19.0,12.0
32,12.0,8.0,11.0,9.0,12.0,15.0,12.0,8.0,10.0,12.0,15.0,15.0,12.0,8.0,41.0,9.0,39.0,11.0,12.0,8.0,11.0,240.0,13.0,21.0
33,8.0,10.0,10.0,11.0,21.0,8.0,8.0,10.0,8.0,17.0,18.0,8.0,8.0,10.0,115.0,11.0,17.0,9.0,8.0,10.0,33.0,170.0,16.0,8.0
34,12.0,8.0,54.0,9.0,10.0,9.0,12.0,8.0,8.0,11.0,14.0,9.0,12.0,8.0,12.0,10.0,14.0,8.0,12.0,8.0,12.0,30.0,11.0,11.0
