step,baseline__seed0,baseline__seed1,baseline__seed2,epsilon_only__seed0,epsilon_only__seed1,epsilon_only__seed2,eligibility_only__seed0,eligibility_only__seed1,eligibility_only__seed2,no_gaussian__seed0,no_gaussian__seed1,no_gaussian__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,no_eligibility__seed0,no_eligibility__seed1,no_eligibility__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
124,11.0,10.0,110.0,21.0,26.0,22.0,11.0,10.0,10.0,18.0,28.0,28.0,10.0,17.0,88.0,21.0,27.0,21.0,10.0,23.0,121.0,500.0,278.0,30.0
125,10.0,10.0,108.0,13.0,34.0,17.0,10.0,10.0,12.0,40.0,28.0,24.0,12.0,19.0,84.0,13.0,55.0,17.0,18.0,10.0,122.0,500.0,190.0,27.0
126,10.0,10.0,104.0,14.0,26.0,18.0,10.0,10.0,10.0,33.0,30.0,21.0,10.0,15.0,84.0,11.0,63.0,19.0,21.0,19.0,121.0,214.0,10.0,22.0
127,10.0,11.0,103.0,16.0,19.0,9.0,10.0,11.0,8.0,50.0,26.0,16.0,13.0,21.0,12.0,15.0,66.0,15.0,24.0,15.0,118.0,234.0,217.0,14.0
128,12.0,10.0,114.0,15.0,16.0,23.0,17.0,10.0,11.0,34.0,12.0,30.0,21.0,18.0,138.0,18.0,59.0,17.0,21.0,15.0,126.0,465.0,209.0,19.0
129,11.0,10.0,114.0,20.0,29.0,17.0,11.0,10.0,9.0,29.0,28.0,24.0,16.0,10.0,123.0,23.0,69.0,17.0,11.0,15.0,115.0,500.0,163.0,23.0
130,10.0,9.0,108.0,13.0,21.0,17.0,17.0,9.0,12.0,49.0,22.0,20.0,17.0,16.0,119.0,14.0,70.0,14.0,17.0,15.0,117.0,500.0,15.0,19.0
131,15.0,9.0,110.0,16.0,17.0,17.0,15.0,9.0,10.0,32.0,22.0,24.0,19.0,12.0,125.0,12.0,64.0,15.0,15.0,23.0,122.0,476.0,218.0,27.0
132,13.0,10.0,109.0,19.0,25.0,15.0,13.0,10.0,9.0,20.0,20.0,20.0,19.0,14.0,118.0,25.0,66.0,13.0,12.0,13.0,120.0,160.0,230.0,21.0
133,10.0,15.0,106.0,15.0,13.0,13.0,17.0,15.0,10.0,90.0,20.0,18.0,17.0,25.0,115.0,13.0,36.0,11.0,15.0,21.0,116.0,500.0,207.0,15.0
134,13.0,8.0,119.0,18.0,18.0,27.0,12.0,8.0,10.0,22.0,17.0,30.0,13.0,15.0,126.0,17.0,64.0,17.0,17.0,15.0,99.0,500.0,165.0,36.0
135,9.0,10.0,112.0,22.0,34.0,17.0,12.0,16.0,10.0,31.0,23.0,19.0,12.0,12.0,121.0,29.0,54.0,17.0,17.0,10.0,120.0,500.0,263.0,26.0
136,10.0,17.0,109.0,13.0,19.0,15.0,10.0,17.0,9.0,53.0,28.0,21.0,10.0,17.0,113.0,19.0,72.0,14.0,12.0,23.0,114.0,500.0,64.0,21.0
137,15.0,14.0,116.0,15.0,23.0,26.0,16.0,13.0,10.0,20.0,19.0,30.0,13.0,19.0,123.0,15.0,69.0,19.0,23.0,20.0,122.0,485.0,231.0,29.0
138,15.0,18.0,108.0,18.0,34.0,15.0,15.0,17.0,10.0,55.0,25.0,22.0,13.0,12.0,118.0,16.0,78.0,12.0,17.0,14.0,120.0,500.0,33.0,25.0
139,10.0,13.0,124.0,11.0,26.0,27.0,19.0,13.0,13.0,164.0,21.0,32.0,10.0,29.0,123.0,11.0,69.0,20.0,14.0,13.0,91.0,500.0,317.0,35.0
140,12.0,20.0,111.0,18.0,35.0,14.0,13.0,20.0,10.0,22.0,35.0,22.0,13.0,15.0,120.0,18.0,70.0,21.0,13.0,11.0,93.0,500.0,347.0,39.0
141,11.0,14.0,109.0,11.0,20.0,17.0,11.0,13.0,17.0,46.0,26.0,24.0,11.0,19.0,114.0,9.0,72.0,25.0,17.0,14.0,118.0,486.0,259.0,26.0
142,11.0,19.0,117.0,20.0,28.0,20.0,13.0,19.0,11.0,126.0,24.0,26.0,13.0,18.0,121.0,19.0,67.0,27.0,10.0,15.0,129.0,500.0,140.0,29.0
143,16.0,15.0,107.0,17.0,25.0,13.0,15.0,18.0,15.0,26.0,29.0,23.0,14.0,15.0,70.0,16.0,15.0,19.0,25.0,13.0,123.0,429.0,15.0,19.0
144,14.0,13.0,114.0,15.0,15.0,17.0,17.0,15.0,10.0,41.0,18.0,30.0,15.0,13.0,121.0,13.0,69.0,25.0,15.0,14.0,122.0,500.0,342.0,27.0
145,12.0,17.0,107.0,18.0,26.0,17.0,13.0,17.0,17.0,29.0,26.0,26.0,21.0,19.0,116.0,20.0,74.0,23.0,13.0,15.0,119.0,500.0,360.0,37.0
146,13.0,14.0,108.0,15.0,24.0,16.0,17.0,14.0,13.0,129.0,24.0,20.0,17.0,14.0,119.0,14.0,68.0,21.0,15.0,19.0,120.0,500.0,443.0,19.0
147,15.0,13.0,112.0,17.0,20.0,19.0,15.0,13.0,10.0,77.0,20.0,32.0,17.0,13.0,122.0,23.0,69.0,19.0,14.0,17.0,126.0,500.0,241.0,30.0
148,13.0,18.0,98.0,20.0,27.0,11.0,13.0,21.0,13.0,82.0,40.0,21.0,13.0,15.0,121.0,21.0,77.0,17.0,14.0,21.0,120.0,500.0,149.0,21.0
149,17.0,12.0,102.0,13.0,19.0,13.0,20.0,13.0,15.0,59.0,19.0,20.0,10.0,15.0,120.0,13.0,69.0,23.0,15.0,13.0,121.0,478.0,286.0,22.0
150,13.0,13.0,117.0,23.0,24.0,23.0,19.0,13.0,11.0,45.0,22.0,32.0,13.0,11.0,124.0,17.0,56.0,31.0,13.0,14.0,119.0,500.0,301.0,25.0
151,13.0,21.0,114.0,19.0,19.0,19.0,15.0,22.0,12.0,81.0,35.0,30.0,13.0,14.0,89.0,15.0,77.0,29.0,14.0,10.0,118.0,500.0,328.0,26.0
152,18.0,20.0,71.0,11.0,26.0,21.0,21.0,21.0,10.0,59.0,30.0,30.0,20.0,23.0,126.0,11.0,78.0,27.0,14.0,17.0,129.0,500.0,275.0,27.0
153,28.0,24.0,105.0,14.0,30.0,17.0,19.0,19.0,11.0,26.0,30.0,19.0,10.0,19.0,119.0,11.0,76.0,27.0,17.0,17.0,122.0,500.0,64.0,27.0
154,21.0,19.0,110.0,24.0,26.0,25.0,20.0,21.0,19.0,99.0,28.0,27.0,24.0,17.0,98.0,21.0,24.0,22.0,22.0,21.0,137.0,500.0,295.0,35.0
155,17.0,24.0,109.0,14.0,29.0,17.0,19.0,24.0,17.0,89.0,32.0,17.0,13.0,18.0,119.0,33.0,74.0,18.0,23.0,15.0,125.0,500.0,348.0,29.0
156,24.0,18.0,106.0,15.0,28.0,17.0,28.0,19.0,13.0,32.0,26.0,23.0,15.0,18.0,116.0,15.0,69.0,22.0,19.0,22.0,120.0,408.0,246.0,21.0
157,23.0,13.0,115.0,17.0,28.0,22.0,17.0,16.0,15.0,100.0,24.0,25.0,17.0,23.0,121.0,26.0,68.0,23.0,18.0,32.0,120.0,500.0,228.0,29.0
158,16.0,21.0,113.0,17.0,26.0,17.0,15.0,18.0,16.0,230.0,24.0,27.0,15.0,22.0,122.0,31.0,73.0,26.0,14.0,25.0,122.0,455.0,232.0,50.0
159,21.0,17.0,116.0,15.0,24.0,21.0,21.0,19.0,17.0,60.0,24.0,31.0,15.0,17.0,115.0,21.0,71.0,19.0,18.0,23.0,124.0,388.0,235.0,42.0
160,17.0,20.0,17.0,14.0,26.0,13.0,17.0,20.0,16.0,199.0,28.0,22.0,17.0,21.0,95.0,23.0,73.0,18.0,17.0,18.0,119.0,500.0,259.0,162.0
161,22.0,14.0,116.0,12.0,22.0,15.0,19.0,13.0,14.0,500.0,20.0,20.0,17.0,13.0,122.0,19.0,71.0,23.0,19.0,21.0,122.0,417.0,227.0,38.0
162,13.0,13.0,119.0,21.0,22.0,19.0,15.0,16.0,16.0,155.0,18.0,28.0,13.0,15.0,125.0,29.0,71.0,32.0,21.0,19.0,126.0,500.0,230.0,331.0
163,15.0,21.0,104.0,17.0,27.0,13.0,15.0,17.0,15.0,131.0,26.0,17.0,13.0,20.0,119.0,25.0,79.0,17.0,21.0,19.0,118.0,500.0,284.0,108.0
164,17.0,13.0,114.0,15.0,26.0,15.0,21.0,13.0,13.0,39.0,18.0,23.0,15.0,13.0,126.0,19.0,44.0,21.0,19.0,17.0,124.0,500.0,253.0,215.0
165,13.0,13.0,114.0,20.0,22.0,21.0,13.0,17.0,14.0,62.0,34.0,23.0,13.0,13.0,125.0,19.0,66.0,25.0,19.0,17.0,125.0,500.0,293.0,44.0
166,17.0,15.0,112.0,17.0,26.0,19.0,18.0,14.0,11.0,42.0,23.0,26.0,17.0,19.0,125.0,23.0,81.0,19.0,23.0,21.0,124.0,500.0,270.0,43.0
167,18.0,14.0,115.0,18.0,18.0,22.0,15.0,13.0,14.0,167.0,32.0,23.0,16.0,13.0,123.0,24.0,74.0,23.0,23.0,20.0,121.0,500.0,228.0,253.0
168,13.0,17.0,105.0,20.0,38.0,18.0,13.0,15.0,12.0,371.0,24.0,15.0,11.0,15.0,117.0,20.0,60.0,11.0,18.0,25.0,122.0,500.0,219.0,189.0
169,15.0,11.0,16.0,15.0,16.0,22.0,17.0,13.0,14.0,174.0,17.0,23.0,15.0,11.0,122.0,19.0,66.0,25.0,19.0,13.0,121.0,474.0,209.0,206.0
170,11.0,15.0,117.0,21.0,26.0,19.0,11.0,15.0,16.0,125.0,26.0,29.0,11.0,15.0,122.0,19.0,84.0,23.0,18.0,25.0,121.0,396.0,242.0,36.0
171,16.0,15.0,123.0,15.0,24.0,25.0,17.0,15.0,17.0,47.0,24.0,29.0,12.0,18.0,127.0,21.0,70.0,25.0,25.0,23.0,130.0,500.0,216.0,133.0
172,14.0,19.0,108.0,17.0,27.0,17.0,15.0,17.0,11.0,41.0,60.0,17.0,19.0,19.0,118.0,26.0,74.0,17.0,15.0,27.0,121.0,500.0,269.0,191.0
173,20.0,13.0,123.0,13.0,20.0,32.0,19.0,11.0,15.0,141.0,19.0,37.0,15.0,12.0,132.0,17.0,65.0,27.0,17.0,17.0,134.0,500.0,243.0,203.0
174,12.0,22.0,111.0,23.0,46.0,18.0,13.0,19.0,12.0,29.0,58.0,28.0,13.0,20.0,122.0,25.0,80.0,17.0,13.0,23.0,124.0,500.0,319.0,15.0
175,24.0,11.0,114.0,14.0,18.0,20.0,16.0,12.0,17.0,185.0,16.0,38.0,18.0,11.0,128.0,16.0,76.0,25.0,15.0,13.0,131.0,385.0,280.0,164.0
176,11.0,17.0,129.0,21.0,38.0,29.0,11.0,15.0,20.0,22.0,23.0,28.0,9.0,15.0,133.0,19.0,85.0,31.0,13.0,21.0,130.0,477.0,250.0,15.0
177,17.0,23.0,109.0,18.0,34.0,18.0,15.0,23.0,11.0,226.0,55.0,17.0,17.0,22.0,121.0,26.0,94.0,17.0,21.0,23.0,122.0,392.0,304.0,211.0
178,29.0,13.0,110.0,11.0,18.0,23.0,24.0,11.0,18.0,66.0,20.0,25.0,15.0,12.0,128.0,15.0,75.0,28.0,23.0,17.0,128.0,500.0,500.0,215.0
179,10.0,18.0,116.0,21.0,50.0,23.0,13.0,17.0,15.0,500.0,52.0,60.0,11.0,15.0,126.0,29.0,83.0,25.0,19.0,32.0,130.0,500.0,328.0,173.0
180,17.0,17.0,120.0,15.0,26.0,22.0,17.0,19.0,15.0,500.0,47.0,27.0,15.0,16.0,129.0,21.0,80.0,29.0,23.0,23.0,132.0,500.0,297.0,178.0
181,19.0,19.0,111.0,15.0,28.0,25.0,16.0,17.0,15.0,144.0,49.0,42.0,17.0,15.0,124.0,23.0,80.0,23.0,21.0,15.0,130.0,500.0,295.0,132.0
182,19.0,16.0,110.0,15.0,21.0,17.0,16.0,16.0,11.0,160.0,28.0,17.0,17.0,15.0,119.0,23.0,73.0,17.0,23.0,23.0,128.0,497.0,292.0,218.0
183,13.0,11.0,119.0,17.0,18.0,25.0,17.0,11.0,17.0,232.0,17.0,50.0,12.0,20.0,138.0,25.0,78.0,25.0,36.0,17.0,140.0,500.0,267.0,243.0
184,13.0,14.0,109.0,23.0,47.0,15.0,12.0,17.0,11.0,283.0,52.0,16.0,11.0,19.0,121.0,29.0,86.0,20.0,15.0,26.0,128.0,500.0,299.0,123.0
185,19.0,11.0,118.0,13.0,17.0,26.0,19.0,10.0,15.0,290.0,16.0,48.0,19.0,11.0,129.0,25.0,83.0,29.0,23.0,13.0,148.0,500.0,272.0,161.0
186,13.0,17.0,110.0,21.0,48.0,20.0,11.0,17.0,13.0,157.0,48.0,20.0,13.0,19.0,122.0,29.0,88.0,17.0,14.0,29.0,142.0,432.0,340.0,210.0
187,18.0,13.0,114.0,15.0,22.0,22.0,19.0,11.0,16.0,306.0,18.0,38.0,14.0,11.0,132.0,27.0,86.0,23.0,16.0,19.0,146.0,328.0,286.0,86.0
188,11.0,16.0,111.0,23.0,36.0,15.0,13.0,16.0,11.0,85.0,50.0,28.0,13.0,25.0,127.0,23.0,84.0,18.0,17.0,21.0,163.0,500.0,328.0,10.0
189,15.0,11.0,117.0,16.0,15.0,30.0,14.0,11.0,20.0,214.0,22.0,58.0,18.0,15.0,123.0,26.0,79.0,29.0,22.0,15.0,172.0,500.0,297.0,310.0
190,11.0,20.0,120.0,24.0,52.0,32.0,11.0,22.0,19.0,198.0,493.0,35.0,10.0,21.0,129.0,26.0,94.0,49.0,16.0,25.0,182.0,500.0,321.0,299.0
191,23.0,23.0,62.0,17.0,38.0,22.0,21.0,24.0,13.0,267.0,144.0,47.0,14.0,26.0,133.0,17.0,98.0,23.0,26.0,23.0,176.0,500.0,392.0,230.0
192,26.0,15.0,119.0,13.0,22.0,30.0,22.0,15.0,17.0,217.0,183.0,35.0,20.0,13.0,131.0,13.0,81.0,25.0,29.0,24.0,143.0,499.0,342.0,18.0
193,15.0,21.0,115.0,25.0,66.0,23.0,15.0,19.0,13.0,137.0,174.0,30.0,12.0,19.0,133.0,23.0,104.0,21.0,23.0,23.0,195.0,500.0,305.0,335.0
194,21.0,13.0,111.0,21.0,22.0,18.0,21.0,15.0,13.0,188.0,72.0,42.0,17.0,14.0,126.0,21.0,85.0,19.0,27.0,19.0,161.0,500.0,373.0,258.0
195,17.0,14.0,108.0,27.0,34.0,19.0,13.0,14.0,13.0,129.0,138.0,19.0,13.0,11.0,126.0,21.0,81.0,22.0,23.0,19.0,144.0,500.0,263.0,216.0
196,13.0,13.0,120.0,32.0,20.0,29.0,14.0,13.0,23.0,212.0,20.0,60.0,14.0,12.0,132.0,38.0,82.0,32.0,19.0,19.0,160.0,330.0,259.0,239.0
197,13.0,21.0,125.0,27.0,56.0,34.0,11.0,20.0,21.0,272.0,111.0,137.0,12.0,24.0,137.0,27.0,101.0,48.0,19.0,29.0,189.0,453.0,259.0,209.0
198,21.0,23.0,120.0,15.0,34.0,17.0,20.0,22.0,18.0,242.0,52.0,60.0,20.0,22.0,138.0,17.0,95.0,41.0,23.0,37.0,209.0,500.0,296.0,157.0
199,22.0,27.0,114.0,16.0,66.0,26.0,24.0,24.0,17.0,192.0,49.0,44.0,20.0,19.0,118.0,15.0,92.0,40.0,31.0,37.0,159.0,500.0,342.0,149.0
200,27.0,15.0,72.0,16.0,24.0,16.0,21.0,13.0,13.0,223.0,37.0,30.0,15.0,21.0,129.0,15.0,94.0,28.0,27.0,47.0,161.0,500.0,372.0,237.0
201,15.0,13.0,119.0,22.0,34.0,27.0,17.0,13.0,21.0,276.0,27.0,66.0,15.0,15.0,145.0,25.0,100.0,54.0,23.0,17.0,194.0,500.0,322.0,256.0
202,13.0,23.0,112.0,30.0,31.0,24.0,13.0,25.0,15.0,333.0,29.0,36.0,11.0,22.0,136.0,19.0,94.0,36.0,17.0,33.0,168.0,500.0,500.0,213.0
203,25.0,15.0,113.0,16.0,44.0,19.0,25.0,14.0,13.0,248.0,48.0,37.0,19.0,14.0,139.0,17.0,102.0,19.0,30.0,25.0,166.0,462.0,371.0,15.0
204,16.0,13.0,109.0,24.0,20.0,16.0,15.0,13.0,13.0,292.0,39.0,16.0,13.0,19.0,102.0,25.0,86.0,15.0,25.0,22.0,193.0,500.0,500.0,297.0
205,13.0,11.0,111.0,27.0,26.0,20.0,13.0,11.0,11.0,263.0,30.0,32.0,12.0,13.0,107.0,29.0,89.0,229.0,20.0,15.0,170.0,404.0,371.0,305.0
206,11.0,12.0,118.0,31.0,40.0,30.0,11.0,12.0,19.0,345.0,53.0,69.0,11.0,17.0,150.0,29.0,88.0,188.0,17.0,32.0,159.0,482.0,332.0,293.0
207,13.0,17.0,115.0,25.0,50.0,23.0,13.0,17.0,15.0,361.0,104.0,52.0,12.0,29.0,142.0,31.0,90.0,237.0,17.0,23.0,162.0,368.0,345.0,279.0
208,20.0,13.0,116.0,20.0,42.0,24.0,19.0,13.0,17.0,262.0,102.0,66.0,19.0,25.0,139.0,26.0,90.0,274.0,28.0,28.0,166.0,500.0,500.0,245.0
209,17.0,17.0,122.0,22.0,48.0,28.0,13.0,17.0,19.0,265.0,57.0,70.0,14.0,30.0,176.0,27.0,96.0,85.0,23.0,25.0,186.0,500.0,500.0,247.0
210,18.0,19.0,112.0,23.0,89.0,24.0,18.0,19.0,16.0,307.0,267.0,58.0,17.0,28.0,137.0,37.0,99.0,61.0,25.0,40.0,168.0,500.0,500.0,202.0
211,22.0,15.0,118.0,22.0,40.0,28.0,20.0,15.0,17.0,264.0,77.0,62.0,19.0,36.0,163.0,19.0,101.0,88.0,33.0,36.0,177.0,500.0,500.0,17.0
212,17.0,16.0,123.0,24.0,51.0,28.0,15.0,16.0,21.0,287.0,500.0,328.0,15.0,27.0,166.0,23.0,91.0,240.0,19.0,42.0,182.0,500.0,500.0,371.0
213,16.0,22.0,112.0,21.0,161.0,15.0,19.0,22.0,11.0,280.0,43.0,24.0,17.0,23.0,158.0,23.0,92.0,68.0,27.0,272.0,175.0,412.0,500.0,349.0
214,23.0,11.0,116.0,20.0,16.0,26.0,22.0,9.0,17.0,243.0,173.0,63.0,29.0,13.0,161.0,17.0,83.0,202.0,33.0,26.0,183.0,500.0,460.0,311.0
215,11.0,15.0,111.0,29.0,57.0,20.0,9.0,16.0,13.0,301.0,49.0,42.0,9.0,29.0,152.0,33.0,92.0,208.0,13.0,97.0,156.0,476.0,500.0,259.0
216,17.0,13.0,112.0,22.0,32.0,20.0,20.0,13.0,12.0,285.0,209.0,17.0,17.0,19.0,163.0,19.0,97.0,105.0,29.0,58.0,165.0,500.0,500.0,246.0
217,17.0,13.0,110.0,29.0,32.0,18.0,13.0,13.0,11.0,301.0,55.0,202.0,13.0,22.0,163.0,27.0,76.0,53.0,39.0,17.0,160.0,500.0,500.0,239.0
218,13.0,11.0,115.0,32.0,39.0,18.0,12.0,10.0,11.0,325.0,70.0,179.0,12.0,17.0,155.0,41.0,81.0,161.0,15.0,26.0,168.0,459.0,165.0,219.0
219,11.0,13.0,112.0,29.0,25.0,18.0,11.0,11.0,11.0,315.0,190.0,241.0,11.0,15.0,189.0,35.0,86.0,172.0,17.0,258.0,159.0,442.0,500.0,244.0
220,11.0,11.0,108.0,32.0,44.0,20.0,11.0,11.0,13.0,300.0,224.0,306.0,13.0,11.0,159.0,35.0,101.0,110.0,15.0,317.0,162.0,456.0,500.0,211.0
221,11.0,13.0,114.0,31.0,52.0,26.0,11.0,14.0,15.0,142.0,206.0,268.0,11.0,22.0,176.0,33.0,79.0,143.0,15.0,266.0,206.0,500.0,487.0,223.0
222,14.0,15.0,118.0,29.0,42.0,24.0,15.0,14.0,14.0,32.0,201.0,40.0,12.0,21.0,172.0,33.0,88.0,200.0,19.0,122.0,196.0,500.0,394.0,155.0
223,14.0,17.0,112.0,24.0,252.0,17.0,14.0,17.0,11.0,207.0,45.0,104.0,14.0,27.0,167.0,29.0,91.0,125.0,21.0,58.0,169.0,500.0,13.0,238.0
224,17.0,12.0,105.0,23.0,17.0,14.0,17.0,10.0,11.0,413.0,127.0,130.0,15.0,15.0,154.0,23.0,101.0,154.0,27.0,193.0,160.0,500.0,10.0,273.0
225,11.0,12.0,134.0,27.0,36.0,30.0,10.0,11.0,18.0,256.0,153.0,113.0,10.0,15.0,175.0,31.0,88.0,159.0,11.0,181.0,182.0,500.0,500.0,291.0
226,11.0,21.0,116.0,32.0,98.0,26.0,10.0,24.0,17.0,365.0,81.0,84.0,15.0,33.0,174.0,39.0,98.0,164.0,16.0,140.0,178.0,456.0,366.0,256.0
227,19.0,23.0,125.0,20.0,82.0,34.0,22.0,16.0,20.0,210.0,122.0,37.0,27.0,25.0,196.0,17.0,91.0,17.0,48.0,102.0,202.0,500.0,336.0,260.0
228,17.0,28.0,110.0,24.0,34.0,16.0,16.0,26.0,11.0,221.0,156.0,135.0,25.0,27.0,164.0,25.0,102.0,120.0,46.0,225.0,168.0,500.0,316.0,194.0
229,22.0,11.0,121.0,16.0,39.0,30.0,19.0,10.0,25.0,222.0,295.0,84.0,31.0,16.0,196.0,15.0,85.0,216.0,43.0,128.0,192.0,500.0,27.0,235.0
230,11.0,21.0,116.0,33.0,206.0,23.0,13.0,21.0,16.0,300.0,185.0,66.0,15.0,25.0,173.0,48.0,93.0,144.0,34.0,16.0,171.0,445.0,352.0,253.0
231,21.0,15.0,120.0,18.0,83.0,30.0,20.0,15.0,29.0,199.0,207.0,484.0,25.0,28.0,182.0,120.0,92.0,148.0,44.0,226.0,175.0,458.0,500.0,257.0
232,15.0,22.0,120.0,26.0,98.0,28.0,15.0,20.0,20.0,232.0,500.0,45.0,21.0,35.0,196.0,279.0,100.0,189.0,27.0,193.0,203.0,287.0,347.0,240.0
233,20.0,19.0,127.0,18.0,41.0,39.0,20.0,19.0,25.0,212.0,226.0,46.0,23.0,31.0,199.0,44.0,98.0,158.0,16.0,213.0,222.0,479.0,324.0,215.0
234,21.0,28.0,107.0,19.0,36.0,18.0,19.0,25.0,11.0,209.0,78.0,319.0,29.0,26.0,158.0,57.0,100.0,119.0,29.0,227.0,215.0,500.0,245.0,274.0
235,22.0,13.0,119.0,15.0,46.0,27.0,22.0,11.0,21.0,125.0,57.0,260.0,21.0,15.0,176.0,28.0,91.0,182.0,42.0,192.0,183.0,346.0,339.0,326.0
236,11.0,19.0,106.0,29.0,55.0,16.0,11.0,21.0,13.0,257.0,192.0,59.0,15.0,31.0,158.0,318.0,104.0,136.0,15.0,201.0,161.0,420.0,274.0,295.0
237,21.0,9.0,115.0,21.0,28.0,22.0,19.0,11.0,15.0,216.0,178.0,165.0,25.0,15.0,167.0,276.0,81.0,185.0,29.0,228.0,187.0,319.0,307.0,339.0
238,11.0,15.0,119.0,29.0,139.0,30.0,11.0,13.0,19.0,330.0,128.0,296.0,18.0,23.0,189.0,190.0,92.0,201.0,15.0,204.0,202.0,500.0,336.0,327.0
239,15.0,23.0,114.0,26.0,60.0,22.0,14.0,21.0,15.0,238.0,162.0,375.0,21.0,27.0,168.0,44.0,102.0,128.0,15.0,156.0,204.0,500.0,349.0,279.0
240,19.0,13.0,119.0,20.0,85.0,28.0,19.0,13.0,17.0,212.0,149.0,188.0,27.0,22.0,178.0,32.0,85.0,178.0,29.0,269.0,200.0,500.0,406.0,258.0
241,12.0,19.0,108.0,24.0,124.0,17.0,13.0,17.0,13.0,233.0,169.0,261.0,23.0,27.0,154.0,194.0,89.0,181.0,21.0,258.0,162.0,500.0,425.0,216.0
242,17.0,12.0,118.0,22.0,37.0,24.0,17.0,11.0,17.0,243.0,84.0,182.0,17.0,17.0,197.0,227.0,85.0,198.0,28.0,111.0,187.0,500.0,500.0,242.0
243,13.0,17.0,122.0,36.0,188.0,32.0,17.0,17.0,23.0,390.0,224.0,476.0,13.0,27.0,195.0,184.0,96.0,166.0,260.0,277.0,194.0,500.0,353.0,283.0
244,16.0,23.0,112.0,24.0,83.0,19.0,20.0,25.0,13.0,229.0,280.0,245.0,23.0,30.0,177.0,57.0,98.0,236.0,44.0,257.0,179.0,500.0,314.0,246.0
245,24.0,13.0,91.0,16.0,81.0,23.0,18.0,13.0,14.0,202.0,500.0,183.0,24.0,20.0,160.0,167.0,94.0,150.0,333.0,17.0,187.0,500.0,385.0,255.0
246,13.0,17.0,121.0,29.0,82.0,29.0,15.0,15.0,23.0,242.0,273.0,275.0,22.0,38.0,177.0,224.0,92.0,183.0,265.0,295.0,195.0,378.0,421.0,265.0
247,12.0,21.0,109.0,28.0,379.0,19.0,15.0,20.0,11.0,271.0,254.0,215.0,22.0,33.0,166.0,172.0,100.0,225.0,215.0,392.0,173.0,426.0,374.0,233.0
248,21.0,11.0,122.0,18.0,33.0,36.0,22.0,11.0,22.0,249.0,177.0,500.0,29.0,17.0,195.0,28.0,89.0,150.0,142.0,230.0,201.0,441.0,353.0,263.0
249,10.0,23.0,120.0,28.0,74.0,29.0,11.0,22.0,27.0,308.0,222.0,318.0,17.0,37.0,179.0,174.0,94.0,236.0,18.0,268.0,197.0,500.0,290.0,247.0
250,25.0,19.0,110.0,16.0,146.0,19.0,22.0,21.0,13.0,211.0,292.0,242.0,40.0,31.0,189.0,156.0,98.0,219.0,237.0,239.0,195.0,391.0,328.0,254.0
251,21.0,13.0,120.0,20.0,167.0,30.0,20.0,13.0,22.0,228.0,232.0,175.0,29.0,26.0,184.0,215.0,91.0,89.0,100.0,218.0,207.0,426.0,270.0,278.0
252,15.0,23.0,114.0,28.0,73.0,22.0,12.0,23.0,13.0,246.0,286.0,203.0,19.0,31.0,168.0,172.0,109.0,253.0,197.0,218.0,204.0,500.0,293.0,271.0
253,20.0,15.0,111.0,18.0,232.0,38.0,26.0,13.0,13.0,217.0,246.0,180.0,29.0,20.0,167.0,172.0,81.0,236.0,179.0,13.0,185.0,500.0,383.0,263.0
254,15.0,13.0,108.0,25.0,187.0,15.0,13.0,11.0,10.0,232.0,216.0,262.0,21.0,19.0,164.0,151.0,115.0,13.0,173.0,325.0,170.0,500.0,434.0,217.0
255,17.0,11.0,110.0,27.0,28.0,21.0,13.0,11.0,15.0,293.0,196.0,422.0,24.0,15.0,164.0,166.0,83.0,261.0,153.0,302.0,173.0,500.0,500.0,230.0
256,13.0,15.0,112.0,32.0,118.0,23.0,15.0,15.0,13.0,317.0,227.0,194.0,17.0,31.0,180.0,191.0,92.0,255.0,145.0,256.0,185.0,500.0,500.0,244.0
257,15.0,15.0,108.0,27.0,140.0,36.0,19.0,13.0,13.0,310.0,239.0,206.0,25.0,19.0,177.0,191.0,86.0,115.0,151.0,258.0,179.0,500.0,337.0,241.0
258,15.0,13.0,111.0,28.0,215.0,22.0,19.0,13.0,17.0,282.0,242.0,231.0,21.0,32.0,184.0,166.0,81.0,214.0,179.0,273.0,189.0,500.0,356.0,260.0
259,13.0,14.0,113.0,25.0,167.0,19.0,20.0,15.0,12.0,278.0,233.0,236.0,17.0,34.0,167.0,154.0,91.0,219.0,216.0,259.0,182.0,500.0,332.0,241.0
260,14.0,11.0,108.0,21.0,206.0,17.0,21.0,13.0,11.0,277.0,233.0,188.0,21.0,30.0,170.0,207.0,102.0,212.0,227.0,218.0,171.0,500.0,396.0,227.0
261,12.0,11.0,127.0,28.0,198.0,42.0,20.0,11.0,20.0,431.0,212.0,500.0,19.0,68.0,194.0,183.0,85.0,154.0,15.0,206.0,193.0,500.0,482.0,292.0
262,11.0,22.0,120.0,30.0,153.0,43.0,17.0,23.0,19.0,101.0,344.0,178.0,15.0,255.0,189.0,200.0,104.0,274.0,237.0,291.0,199.0,500.0,409.0,282.0
263,24.0,19.0,114.0,17.0,43.0,18.0,35.0,20.0,11.0,310.0,288.0,264.0,37.0,162.0,191.0,171.0,120.0,230.0,268.0,268.0,205.0,415.0,500.0,251.0
