step,baseline__seed0,baseline__seed1,baseline__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
61,9.0,9.0,22.0,9.0,9.0,99.0,9.0,9.0,112.0,500.0,18.0,20.0
62,9.0,10.0,29.0,9.0,10.0,108.0,9.0,10.0,108.0,229.0,16.0,15.0
63,10.0,10.0,28.0,10.0,10.0,114.0,10.0,10.0,113.0,455.0,17.0,15.0
64,10.0,10.0,28.0,10.0,10.0,118.0,10.0,10.0,114.0,500.0,18.0,12.0
65,10.0,10.0,24.0,10.0,10.0,120.0,10.0,10.0,121.0,277.0,25.0,22.0
66,10.0,9.0,28.0,10.0,9.0,110.0,10.0,9.0,108.0,500.0,15.0,11.0
67,10.0,9.0,18.0,10.0,9.0,105.0,10.0,9.0,101.0,500.0,14.0,12.0
68,9.0,9.0,26.0,9.0,9.0,102.0,9.0,9.0,104.0,162.0,19.0,17.0
69,8.0,12.0,18.0,8.0,12.0,100.0,8.0,12.0,111.0,500.0,30.0,14.0
70,10.0,11.0,25.0,10.0,11.0,105.0,10.0,11.0,116.0,331.0,32.0,17.0
71,9.0,10.0,24.0,9.0,10.0,114.0,9.0,10.0,118.0,500.0,32.0,15.0
72,12.0,11.0,21.0,12.0,11.0,115.0,12.0,11.0,116.0,260.0,16.0,12.0
73,10.0,10.0,21.0,10.0,10.0,119.0,10.0,10.0,115.0,500.0,19.0,14.0
74,11.0,9.0,89.0,11.0,9.0,113.0,11.0,9.0,108.0,320.0,19.0,13.0
75,9.0,9.0,97.0,9.0,9.0,116.0,9.0,9.0,113.0,229.0,24.0,24.0
76,9.0,10.0,45.0,9.0,10.0,104.0,9.0,10.0,110.0,242.0,17.0,16.0
77,10.0,9.0,95.0,10.0,9.0,103.0,10.0,9.0,111.0,301.0,33.0,11.0
78,9.0,11.0,104.0,9.0,11.0,113.0,9.0,11.0,118.0,261.0,22.0,25.0
79,9.0,13.0,98.0,9.0,13.0,114.0,9.0,13.0,113.0,48.0,36.0,13.0
