param,value,avg_reward_mean,avg_reward_std,trailing50_mean,trailing50_std
epsilon_decay,0.9,9.4195,0.015350081433009172,9.34,0.031622776601683424
epsilon_decay,0.95,55.408500000000004,8.301059721505439,252.004,22.633039566085692
epsilon_decay,0.99,290.3445,85.66845680806327,469.15200000000004,19.08442611136106
epsilon_decay,0.995,258.8505,28.9742962274323,401.02,47.927528623954736
epsilon_decay,0.999,124.603,13.220316443829942,194.872,35.282864396190966
lam,0.0,114.12549999999999,39.98864488826797,228.06,38.63009966334541
lam,0.3,181.832,64.98338622775056,382.988,99.14150755359735
lam,0.5,290.3445,85.66845680806327,469.15200000000004,19.08442611136106
lam,0.7,275.3995,51.943015152424486,373.728,94.24435431366697
lam,0.9,306.56,40.602471869025415,411.096,59.561743426464616
lam,0.99,238.298,16.99869364465988,259.608,130.32429443507453
sigma_mult,0.2,198.1225,58.41922329165289,300.96799999999996,83.64225439333879
sigma_mult,0.35,290.3445,85.66845680806327,469.15200000000004,19.08442611136106
sigma_mult,0.5,13.8475,0.2800781141039053,15.096,0.28368997162395443
sigma_mult,0.7,10.214,0.06994640805645493,9.544,0.4290454521376494
