label,avg_reward,std_dev,trailing50_mean
Off / Off / Off (baseline FQL),45.285000000000004,45.02144829134221,72.70666666666666
Off / Off / On,70.56166666666667,35.38950553601072,214.92666666666665
Off / On / Off,21.9725,10.481915676535468,70.96
Off / On / On,146.4525,19.758981343935716,280.68666666666667
On / Off / Off,94.27499999999999,44.58192676130093,230.3066666666667
On / Off / On,100.02666666666666,13.679484944007699,227.26
On / On / Off,163.73499999999999,25.073943023585276,421.49333333333334
On / On / On (full FQL-GTA),305.5308333333333,105.1214054181323,476.5133333333333
