,Off / Off / Off (baseline FQL),Off / Off / On,Off / On / Off,Off / On / On,On / Off / Off,On / Off / On,On / On / Off,On / On / On (full FQL-GTA)
Off / Off / Off (baseline FQL),1.0,0.9912431306228394,1.0,0.3721330112973784,0.886305472010565,0.886305472010565,0.19522068354074074,0.03318175449650085
Off / Off / On,0.9912431306228394,1.0,0.9912431306228394,0.886305472010565,0.9996644224650172,0.9996644224650172,0.708975728954057,0.2752952595226672
Off / On / Off,1.0,0.9912431306228394,1.0,0.3721330112973784,0.886305472010565,0.886305472010565,0.19522068354074074,0.03318175449650085
Off / On / On,0.3721330112973784,0.886305472010565,0.3721330112973784,1.0,0.9912431306228394,0.9912431306228394,0.9999782922716192,0.9745775927126128
On / Off / Off,0.886305472010565,0.9996644224650172,0.886305472010565,0.9912431306228394,1.0,1.0,0.9413468324641447,0.5971296572054327
On / Off / On,0.886305472010565,0.9996644224650172,0.886305472010565,0.9912431306228394,1.0,1.0,0.9413468324641447,0.5971296572054327
On / On / Off,0.19522068354074074,0.708975728954057,0.19522068354074074,0.9999782922716192,0.9413468324641447,0.9413468324641447,1.0,0.9978112687232679
On / On / On (full FQL-GTA),0.03318175449650085,0.2752952595226672,0.03318175449650085,0.9745775927126128,0.5971296572054327,0.5971296572054327,0.9978112687232679,1.0
