method,final_return_mean,final_return_std,auc_mean,auc_std,solved_rate,n_seeds_solved,n_seeds_total,train_time_sec_mean,train_time_sec_std,n_params,n_episodes_per_seed_mean,memory_kb
Baseline FQL,271.65200000000004,29.43684493963305,123.8958,11.558222602689971,0.0,0.0,10.0,13.514276599884033,1.3275824346097918,648.0,500.0,2.53
Improved FQL-GTA,429.3179999999999,85.25862690791017,298.734,62.82044442164775,0.6,6.0,10.0,35.79327650070191,9.826611050536028,648.0,500.0,2.53
DQN (hand-rolled),194.33,77.31135391677243,110.5262,17.290578100996704,0.0,0.0,10.0,173.9114428281784,31.80652343639651,4610.0,500.0,18.01
DQN (stable-baselines3),184.946,77.37938746490855,23.453388878763832,10.146221114653883,0.0,0.0,10.0,154.7393786907196,10.73447545823633,9220.0,2913.4,36.02
PPO (stable-baselines3),496.622,8.410017571655573,159.05046029343265,4.137936700393957,0.9,9.0,10.0,157.1695857524872,35.17434421898793,9155.0,385.1,35.76
