alpha,final_return_mean,final_return_std,solved_rate,n_seeds_solved,n_seeds_total,ever_crossed_threshold_rate
0.1,26.237999999999996,28.94609942158249,0.0,0,30,0.0
0.2,202.01133333333334,56.29889952579971,0.0,0,30,0.0
0.3,265.6986666666667,41.17252982212804,0.0,0,30,0.0
0.5,275.47,27.970241698806525,0.0,0,30,0.0
