seed,episode,agent,return
0,80,Improved FQL-GTA,48.0
0,81,Baseline FQL,12.0
0,81,Improved FQL-GTA,300.0
0,82,Baseline FQL,11.0
0,82,Improved FQL-GTA,458.0
0,83,Baseline FQL,10.0
0,83,Improved FQL-GTA,500.0
0,84,Baseline FQL,13.0
0,84,Improved FQL-GTA,500.0
0,85,Baseline FQL,13.0
0,85,Improved FQL-GTA,500.0
0,86,Baseline FQL,9.0
0,86,Improved FQL-GTA,491.0
0,87,Baseline FQL,13.0
0,87,Improved FQL-GTA,279.0
0,88,Baseline FQL,12.0
0,88,Improved FQL-GTA,500.0
0,89,Baseline FQL,15.0
0,89,Improved FQL-GTA,229.0
0,90,Baseline FQL,11.0
0,90,Improved FQL-GTA,178.0
0,91,Baseline FQL,15.0
0,91,Improved FQL-GTA,352.0
0,92,Baseline FQL,13.0
0,92,Improved FQL-GTA,500.0
0,93,Baseline FQL,18.0
0,93,Improved FQL-GTA,361.0
0,94,Baseline FQL,15.0
0,94,Improved FQL-GTA,301.0
0,95,Baseline FQL,14.0
0,95,Improved FQL-GTA,500.0
0,96,Baseline FQL,16.0
0,96,Improved FQL-GTA,497.0
0,97,Baseline FQL,15.0
0,97,Improved FQL-GTA,500.0
0,98,Baseline FQL,15.0
0,98,Improved FQL-GTA,500.0
0,99,Baseline FQL,18.0
0,99,Improved FQL-GTA,329.0
0,100,Baseline FQL,15.0
0,100,Improved FQL-GTA,219.0
0,101,Baseline FQL,16.0
0,101,Improved FQL-GTA,457.0
0,102,Baseline FQL,13.0
0,102,Improved FQL-GTA,500.0
0,103,Baseline FQL,13.0
0,103,Improved FQL-GTA,216.0
0,104,Baseline FQL,18.0
0,104,Improved FQL-GTA,474.0
0,105,Baseline FQL,20.0
0,105,Improved FQL-GTA,500.0
0,106,Baseline FQL,23.0
0,106,Improved FQL-GTA,500.0
0,107,Baseline FQL,21.0
0,107,Improved FQL-GTA,500.0
0,108,Baseline FQL,20.0
0,108,Improved FQL-GTA,500.0
0,109,Baseline FQL,20.0
0,109,Improved FQL-GTA,500.0
0,110,Baseline FQL,15.0
0,110,Improved FQL-GTA,500.0
0,111,Baseline FQL,14.0
0,111,Improved FQL-GTA,500.0
0,112,Baseline FQL,17.0
0,112,Improved FQL-GTA,246.0
0,113,Baseline FQL,11.0
0,113,Improved FQL-GTA,500.0
0,114,Baseline FQL,20.0
0,114,Improved FQL-GTA,388.0
0,115,Baseline FQL,18.0
0,115,Improved FQL-GTA,444.0
0,116,Baseline FQL,15.0
0,116,Improved FQL-GTA,500.0
0,117,Baseline FQL,11.0
0,117,Improved FQL-GTA,214.0
0,118,Baseline FQL,15.0
0,118,Improved FQL-GTA,500.0
0,119,Baseline FQL,19.0
0,119,Improved FQL-GTA,500.0
0,120,Baseline FQL,13.0
0,120,Improved FQL-GTA,500.0
