label,avg_reward,std_dev,trailing50_mean,solve_rate,mean_train_time_sec
Baseline,45.285000000000004,45.02144829134221,72.70666666666666,0.0,5.14140780766805
+ Gaussian MF only,94.27499999999999,44.58192676130093,230.3066666666667,0.0,11.30953598022461
+ Eligibility Trace only,21.9725,10.481915676535468,70.96,0.0,2.8825278282165527
+ Adaptive epsilon only,70.56166666666667,35.38950553601072,214.92666666666665,0.0,7.417582035064697
Full FQL-GTA (all three),305.5308333333333,105.1214054181323,476.5133333333333,0.6666666666666666,28.898808399836224
