label,final_reward_mean,final_reward_std,avg_reward_mean
Baseline FQL,72.70666666666666,46.17770168959618,45.285000000000004
+ Gaussian MF,230.3066666666667,17.53758630294755,94.27499999999999
+ Eligibility Traces,421.49333333333334,32.254750554504895,163.73499999999999
+ Adaptive epsilon (Full FQL-GTA),476.5133333333333,13.512991279999202,305.5308333333333
